block_id,hardness,blast_resistance
minecraft:carrots,0,0
minecraft:potatoes,0,0
minecraft:oak_button,0.5,0.5
minecraft:spruce_button,0.5,0.5
minecraft:birch_button,0.5,0.5
minecraft:jungle_button,0.5,0.5
minecraft:acacia_button,0.5,0.5
minecraft:cherry_button,0.5,0.5
minecraft:dark_oak_button,0.5,0.5
minecraft:mangrove_button,0.5,0.5
minecraft:bamboo_button,0.5,0.5
minecraft:skeleton_skull,1,1
minecraft:skeleton_wall_skull,1,1
minecraft:wither_skeleton_skull,1,1
minecraft:wither_skeleton_wall_skull,1,1
minecraft:zombie_head,1,1
minecraft:zombie_wall_head,1,1
minecraft:player_head,1,1
minecraft:player_wall_head,1,1
minecraft:creeper_head,1,1
minecraft:creeper_wall_head,1,1
minecraft:dragon_head,1,1
minecraft:dragon_wall_head,1,1
minecraft:piglin_head,1,1
minecraft:piglin_wall_head,1,1
minecraft:anvil,5,1200
minecraft:chipped_anvil,5,1200
minecraft:damaged_anvil,5,1200
minecraft:trapped_chest,2.5,2.5
minecraft:light_weighted_pressure_plate,0.5,0.5
minecraft:heavy_weighted_pressure_plate,0.5,0.5
minecraft:comparator,0,0
minecraft:daylight_detector,0.2,0.2
minecraft:redstone_block,5,6
minecraft:nether_quartz_ore,3,3
minecraft:hopper,3,4.8
minecraft:quartz_block,0.8,0.8
minecraft:chiseled_quartz_block,0.8,0.8
minecraft:quartz_pillar,0.8,0.8
minecraft:quartz_stairs,0.8,0.8
minecraft:activator_rail,0.7,0.7
minecraft:dropper,3.5,3.5
minecraft:white_terracotta,1.25,4.2
minecraft:orange_terracotta,1.25,4.2
minecraft:magenta_terracotta,1.25,4.2
minecraft:light_blue_terracotta,1.25,4.2
minecraft:yellow_terracotta,1.25,4.2
minecraft:lime_terracotta,1.25,4.2
minecraft:pink_terracotta,1.25,4.2
minecraft:gray_terracotta,1.25,4.2
minecraft:light_gray_terracotta,1.25,4.2
minecraft:cyan_terracotta,1.25,4.2
minecraft:purple_terracotta,1.25,4.2
minecraft:blue_terracotta,1.25,4.2
minecraft:brown_terracotta,1.25,4.2
minecraft:green_terracotta,1.25,4.2
minecraft:red_terracotta,1.25,4.2
minecraft:black_terracotta,1.25,4.2
minecraft:white_stained_glass_pane,0.3,0.3
minecraft:orange_stained_glass_pane,0.3,0.3
minecraft:magenta_stained_glass_pane,0.3,0.3
minecraft:light_blue_stained_glass_pane,0.3,0.3
minecraft:yellow_stained_glass_pane,0.3,0.3
minecraft:lime_stained_glass_pane,0.3,0.3
minecraft:pink_stained_glass_pane,0.3,0.3
minecraft:gray_stained_glass_pane,0.3,0.3
minecraft:light_gray_stained_glass_pane,0.3,0.3
minecraft:cyan_stained_glass_pane,0.3,0.3
minecraft:purple_stained_glass_pane,0.3,0.3
minecraft:blue_stained_glass_pane,0.3,0.3
minecraft:brown_stained_glass_pane,0.3,0.3
minecraft:green_stained_glass_pane,0.3,0.3
minecraft:red_stained_glass_pane,0.3,0.3
minecraft:black_stained_glass_pane,0.3,0.3
minecraft:acacia_stairs,2,3
minecraft:cherry_stairs,2,3
minecraft:dark_oak_stairs,2,3
minecraft:mangrove_stairs,2,3
minecraft:bamboo_stairs,2,3
minecraft:bamboo_mosaic_stairs,2,3
minecraft:slime_block,0,0
minecraft:barrier,-1,3600000.8
minecraft:light,-1,3600000.8
minecraft:iron_trapdoor,5,5
minecraft:prismarine,1.5,6
minecraft:prismarine_bricks,1.5,6
minecraft:dark_prismarine,1.5,6
minecraft:prismarine_stairs,1.5,6
minecraft:prismarine_brick_stairs,1.5,6
minecraft:dark_prismarine_stairs,1.5,6
minecraft:prismarine_slab,1.5,6
minecraft:prismarine_brick_slab,1.5,6
minecraft:dark_prismarine_slab,1.5,6
minecraft:sea_lantern,0.3,0.3
minecraft:hay_block,0.5,0.5
minecraft:white_carpet,0.1,0.1
minecraft:orange_carpet,0.1,0.1
minecraft:magenta_carpet,0.1,0.1
minecraft:light_blue_carpet,0.1,0.1
minecraft:yellow_carpet,0.1,0.1
minecraft:lime_carpet,0.1,0.1
minecraft:pink_carpet,0.1,0.1
minecraft:gray_carpet,0.1,0.1
minecraft:light_gray_carpet,0.1,0.1
minecraft:cyan_carpet,0.1,0.1
minecraft:purple_carpet,0.1,0.1
minecraft:blue_carpet,0.1,0.1
minecraft:brown_carpet,0.1,0.1
minecraft:green_carpet,0.1,0.1
minecraft:red_carpet,0.1,0.1
minecraft:black_carpet,0.1,0.1
minecraft:terracotta,1.25,4.2
minecraft:coal_block,5,6
minecraft:packed_ice,0.5,0.5
minecraft:sunflower,0,0
minecraft:lilac,0,0
minecraft:rose_bush,0,0
minecraft:peony,0,0
minecraft:tall_grass,0,0
minecraft:large_fern,0,0
minecraft:white_banner,1,1
minecraft:orange_banner,1,1
minecraft:magenta_banner,1,1
minecraft:light_blue_banner,1,1
minecraft:yellow_banner,1,1
minecraft:lime_banner,1,1
minecraft:pink_banner,1,1
minecraft:gray_banner,1,1
minecraft:light_gray_banner,1,1
minecraft:cyan_banner,1,1
minecraft:purple_banner,1,1
minecraft:blue_banner,1,1
minecraft:brown_banner,1,1
minecraft:green_banner,1,1
minecraft:red_banner,1,1
minecraft:black_banner,1,1
minecraft:white_wall_banner,1,1
minecraft:orange_wall_banner,1,1
minecraft:magenta_wall_banner,1,1
minecraft:light_blue_wall_banner,1,1
minecraft:yellow_wall_banner,1,1
minecraft:lime_wall_banner,1,1
minecraft:pink_wall_banner,1,1
minecraft:gray_wall_banner,1,1
minecraft:light_gray_wall_banner,1,1
minecraft:cyan_wall_banner,1,1
minecraft:purple_wall_banner,1,1
minecraft:blue_wall_banner,1,1
minecraft:brown_wall_banner,1,1
minecraft:green_wall_banner,1,1
minecraft:red_wall_banner,1,1
minecraft:black_wall_banner,1,1
minecraft:red_sandstone,0.8,0.8
minecraft:chiseled_red_sandstone,0.8,0.8
minecraft:cut_red_sandstone,0.8,0.8
minecraft:red_sandstone_stairs,0.8,0.8
minecraft:oak_slab,2,3
minecraft:spruce_slab,2,3
minecraft:birch_slab,2,3
minecraft:jungle_slab,2,3
minecraft:acacia_slab,2,3
minecraft:cherry_slab,2,3
minecraft:dark_oak_slab,2,3
minecraft:mangrove_slab,2,3
minecraft:bamboo_slab,2,3
minecraft:bamboo_mosaic_slab,2,3
minecraft:stone_slab,2,6
minecraft:smooth_stone_slab,2,6
minecraft:sandstone_slab,2,6
minecraft:cut_sandstone_slab,2,6
minecraft:petrified_oak_slab,2,6
minecraft:cobblestone_slab,2,6
minecraft:brick_slab,2,6
minecraft:stone_brick_slab,2,6
minecraft:mud_brick_slab,1.5,3
minecraft:nether_brick_slab,2,6
minecraft:quartz_slab,2,6
minecraft:red_sandstone_slab,2,6
minecraft:cut_red_sandstone_slab,2,6
minecraft:purpur_slab,2,6
minecraft:smooth_stone,2,6
minecraft:smooth_sandstone,2,6
minecraft:smooth_quartz,2,6
minecraft:smooth_red_sandstone,2,6
minecraft:spruce_fence_gate,2,3
minecraft:birch_fence_gate,2,3
minecraft:jungle_fence_gate,2,3
minecraft:acacia_fence_gate,2,3
minecraft:cherry_fence_gate,2,3
minecraft:dark_oak_fence_gate,2,3
minecraft:mangrove_fence_gate,2,3
minecraft:bamboo_fence_gate,2,3
minecraft:spruce_fence,2,3
minecraft:birch_fence,2,3
minecraft:jungle_fence,2,3
minecraft:acacia_fence,2,3
minecraft:cherry_fence,2,3
minecraft:dark_oak_fence,2,3
minecraft:mangrove_fence,2,3
minecraft:bamboo_fence,2,3
minecraft:spruce_door,3,3
minecraft:birch_door,3,3
minecraft:jungle_door,3,3
minecraft:acacia_door,3,3
minecraft:cherry_door,3,3
minecraft:dark_oak_door,3,3
minecraft:mangrove_door,3,3
minecraft:bamboo_door,3,3
minecraft:end_rod,0,0
minecraft:chorus_plant,0.4,0.4
minecraft:chorus_flower,0.4,0.4
minecraft:purpur_block,1.5,6
minecraft:purpur_pillar,1.5,6
minecraft:purpur_stairs,1.5,6
minecraft:end_stone_bricks,3,9
minecraft:torchflower_crop,0,0
minecraft:pitcher_crop,0,0
minecraft:pitcher_plant,0,0
minecraft:beetroots,0,0
minecraft:dirt_path,0.65,0.65
minecraft:end_gateway,-1,3600000
minecraft:repeating_command_block,-1,3600000
minecraft:chain_command_block,-1,3600000
minecraft:frosted_ice,0.5,0.5
minecraft:magma_block,0.5,0.5
minecraft:nether_wart_block,1,1
minecraft:red_nether_bricks,2,6
minecraft:bone_block,2,2
minecraft:structure_void,0,0
minecraft:observer,3,3
minecraft:shulker_box,2,2
minecraft:white_shulker_box,2,2
minecraft:orange_shulker_box,2,2
minecraft:magenta_shulker_box,2,2
minecraft:light_blue_shulker_box,2,2
minecraft:yellow_shulker_box,2,2
minecraft:lime_shulker_box,2,2
minecraft:pink_shulker_box,2,2
minecraft:gray_shulker_box,2,2
minecraft:light_gray_shulker_box,2,2
minecraft:cyan_shulker_box,2,2
minecraft:purple_shulker_box,2,2
minecraft:blue_shulker_box,2,2
minecraft:brown_shulker_box,2,2
minecraft:green_shulker_box,2,2
minecraft:red_shulker_box,2,2
minecraft:black_shulker_box,2,2
minecraft:white_glazed_terracotta,1.4,1.4
minecraft:orange_glazed_terracotta,1.4,1.4
minecraft:magenta_glazed_terracotta,1.4,1.4
minecraft:light_blue_glazed_terracotta,1.4,1.4
minecraft:yellow_glazed_terracotta,1.4,1.4
minecraft:lime_glazed_terracotta,1.4,1.4
minecraft:pink_glazed_terracotta,1.4,1.4
minecraft:gray_glazed_terracotta,1.4,1.4
minecraft:light_gray_glazed_terracotta,1.4,1.4
minecraft:cyan_glazed_terracotta,1.4,1.4
minecraft:purple_glazed_terracotta,1.4,1.4
minecraft:blue_glazed_terracotta,1.4,1.4
minecraft:brown_glazed_terracotta,1.4,1.4
minecraft:green_glazed_terracotta,1.4,1.4
minecraft:red_glazed_terracotta,1.4,1.4
minecraft:black_glazed_terracotta,1.4,1.4
minecraft:white_concrete,1.8,1.8
minecraft:orange_concrete,1.8,1.8
minecraft:magenta_concrete,1.8,1.8
minecraft:light_blue_concrete,1.8,1.8
minecraft:yellow_concrete,1.8,1.8
minecraft:lime_concrete,1.8,1.8
minecraft:pink_concrete,1.8,1.8
minecraft:gray_concrete,1.8,1.8
minecraft:light_gray_concrete,1.8,1.8
minecraft:cyan_concrete,1.8,1.8
minecraft:purple_concrete,1.8,1.8
minecraft:blue_concrete,1.8,1.8
minecraft:brown_concrete,1.8,1.8
minecraft:green_concrete,1.8,1.8
minecraft:red_concrete,1.8,1.8
minecraft:black_concrete,1.8,1.8
minecraft:white_concrete_powder,0.5,0.5
minecraft:orange_concrete_powder,0.5,0.5
minecraft:magenta_concrete_powder,0.5,0.5
minecraft:light_blue_concrete_powder,0.5,0.5
minecraft:yellow_concrete_powder,0.5,0.5
minecraft:lime_concrete_powder,0.5,0.5
minecraft:pink_concrete_powder,0.5,0.5
minecraft:gray_concrete_powder,0.5,0.5
minecraft:light_gray_concrete_powder,0.5,0.5
minecraft:cyan_concrete_powder,0.5,0.5
minecraft:purple_concrete_powder,0.5,0.5
minecraft:blue_concrete_powder,0.5,0.5
minecraft:brown_concrete_powder,0.5,0.5
minecraft:green_concrete_powder,0.5,0.5
minecraft:red_concrete_powder,0.5,0.5
minecraft:black_concrete_powder,0.5,0.5
minecraft:kelp,0,0
minecraft:kelp_plant,0,0
minecraft:dried_kelp_block,0.5,2.5
minecraft:turtle_egg,0.5,0.5
minecraft:sniffer_egg,0.5,0.5
minecraft:dead_tube_coral_block,1.5,6
minecraft:dead_brain_coral_block,1.5,6
minecraft:dead_bubble_coral_block,1.5,6
minecraft:dead_fire_coral_block,1.5,6
minecraft:dead_horn_coral_block,1.5,6
minecraft:tube_coral_block,1.5,6
minecraft:brain_coral_block,1.5,6
minecraft:bubble_coral_block,1.5,6
minecraft:fire_coral_block,1.5,6
minecraft:horn_coral_block,1.5,6
minecraft:dead_tube_coral,0,0
minecraft:dead_brain_coral,0,0
minecraft:dead_bubble_coral,0,0
minecraft:dead_fire_coral,0,0
minecraft:dead_horn_coral,0,0
minecraft:tube_coral,0,0
minecraft:brain_coral,0,0
minecraft:bubble_coral,0,0
minecraft:fire_coral,0,0
minecraft:horn_coral,0,0
minecraft:dead_tube_coral_fan,0,0
minecraft:dead_brain_coral_fan,0,0
minecraft:dead_bubble_coral_fan,0,0
minecraft:dead_fire_coral_fan,0,0
minecraft:dead_horn_coral_fan,0,0
minecraft:tube_coral_fan,0,0
minecraft:brain_coral_fan,0,0
minecraft:bubble_coral_fan,0,0
minecraft:fire_coral_fan,0,0
minecraft:horn_coral_fan,0,0
minecraft:dead_tube_coral_wall_fan,0,0
minecraft:dead_brain_coral_wall_fan,0,0
minecraft:dead_bubble_coral_wall_fan,0,0
minecraft:dead_fire_coral_wall_fan,0,0
minecraft:dead_horn_coral_wall_fan,0,0
minecraft:tube_coral_wall_fan,0,0
minecraft:brain_coral_wall_fan,0,0
minecraft:bubble_coral_wall_fan,0,0
minecraft:fire_coral_wall_fan,0,0
minecraft:horn_coral_wall_fan,0,0
minecraft:sea_pickle,0,0
minecraft:blue_ice,2.8,2.8
minecraft:conduit,3,3
minecraft:bamboo_sapling,1,1
minecraft:bamboo,1,1
minecraft:potted_bamboo,0,0
minecraft:void_air,0,0
minecraft:cave_air,0,0
minecraft:bubble_column,0,0
minecraft:polished_granite_stairs,1.5,6
minecraft:smooth_red_sandstone_stairs,2,6
minecraft:mossy_stone_brick_stairs,1.5,6
minecraft:polished_diorite_stairs,1.5,6
minecraft:mossy_cobblestone_stairs,2,6
minecraft:end_stone_brick_stairs,3,9
minecraft:stone_stairs,1.5,6
minecraft:smooth_sandstone_stairs,2,6
minecraft:smooth_quartz_stairs,2,6
minecraft:granite_stairs,1.5,6
minecraft:andesite_stairs,1.5,6
